fid,station
0,A-7-6
1,A-7-7
2,A-6-1
3,A-6-2
4,A-6-3
5,A-6-5
6,A-6-6
7,A-5-1
8,A-5-3
9,A-5-4
10,A-5-5
11,A-4-1
12,A-4-2
13,A-4-3
14,A-4-4
15,A-3-1
16,A-3-2
17,A-3-3
18,A-2-1
19,A-2-2
20,A-1-1
21,B-2-10
22,B-2-11
23,B-1-1
24,B-1-2
25,B-1-3
26,B-1-4
27,B-1-5
28,B-1-6
29,B-1-7
30,B-1-8
31,B-1-9
32,B-1-10
33,A-9-1
34,A-9-2
35,A-9-3
36,A-9-4
37,A-9-6
38,A-9-7
39,A-9-8
40,A-9-9
41,A-8-1
42,A-8-2
43,A-8-3
44,A-8-4
45,A-8-5
46,A-8-6
47,A-8-7
48,A-8-8
49,A-7-1
50,A-7-2
51,A-7-3
52,A-7-4
53,A-7-5
54,C-1-2
55,C-1-3
56,C-1-4
57,C-1-5
58,C-1-6
59,C-1-7
60,C-1-8
61,C-1-9
62,B-4-1
63,B-4-2
64,B-4-3
65,B-4-5
66,B-4-6
67,B-4-7
68,B-4-8
69,B-4-9
70,B-3-1
71,B-3-2
72,B-3-3
73,B-3-5
74,B-3-6
75,B-3-7
76,B-3-8
77,B-3-9
78,B-2-1
79,B-2-2
80,B-2-3
81,B-2-4
82,B-2-5
83,B-2-6
84,B-2-7
85,B-2-8
86,B-2-9
87,C-5-1
88,C-5-2
89,C-5-3
90,C-5-4
91,C-5-5
92,C-4-1
93,C-4-2
94,C-4-3
95,C-4-4
96,C-4-6
97,C-4-7
98,C-4-8
99,C-4-9
100,C-3-1
101,C-3-2
102,C-3-3
103,C-3-4
104,C-3-5
105,C-3-6
106,C-3-7
107,C-3-8
108,C-3-9
109,C-2-1
110,C-2-2
111,C-2-3
112,C-2-4
113,C-2-5
114,C-2-6
115,C-2-7
116,C-2-8
117,C-2-9
118,C-2-10
119,C-1-1
120,A-5-2
