#,Date-Time (EDT),Ch: 1 - Temperature   (°C ),Button Down,Button Up,Host Connected,End of File
1,06/06/2023 02:37:51,20.89,,,,
2,06/06/2023 02:47:51,18.02,,,,
3,06/06/2023 02:57:51,15.27,,,,
4,06/06/2023 03:07:51,15.36,,,,
5,06/06/2023 03:17:51,16.73,,,,
6,06/06/2023 03:27:51,17.16,,,,
7,06/06/2023 03:37:51,17.29,,,,
8,06/06/2023 03:47:51,17.67,,,,
9,06/06/2023 03:57:51,17.80,,,,
10,06/06/2023 04:07:51,17.84,,,,
11,06/06/2023 04:17:51,17.80,,,,
12,06/06/2023 04:27:51,17.72,,,,
13,06/06/2023 04:37:51,17.41,,,,
14,06/06/2023 04:47:51,17.41,,,,
15,06/06/2023 04:57:51,17.37,,,,
16,06/06/2023 05:07:51,17.24,,,,
17,06/06/2023 05:17:51,16.99,,,,
18,06/06/2023 05:18:23,,Logged,,,
19,06/06/2023 05:27:51,16.26,,,,
20,06/06/2023 05:37:51,16.21,,,,
21,06/06/2023 05:47:51,16.26,,,,
22,06/06/2023 05:57:51,16.21,,,,
23,06/06/2023 06:07:51,16.21,,,,
24,06/06/2023 06:17:51,16.26,,,,
25,06/06/2023 06:27:51,16.26,,,,
26,06/06/2023 06:37:51,16.21,,,,
27,06/06/2023 06:47:51,16.21,,,,
28,06/06/2023 06:57:51,16.26,,,,
29,06/06/2023 07:07:51,16.26,,,,
30,06/06/2023 07:17:51,16.30,,,,
31,06/06/2023 07:27:51,16.21,,,,
32,06/06/2023 07:37:51,16.26,,,,
33,06/06/2023 07:47:51,16.26,,,,
34,06/06/2023 07:57:51,16.26,,,,
35,06/06/2023 08:07:51,16.21,,,,
36,06/06/2023 08:17:51,16.26,,,,
37,06/06/2023 08:27:51,16.21,,,,
38,06/06/2023 08:37:51,16.26,,,,
39,06/06/2023 08:47:51,16.17,,,,
40,06/06/2023 08:57:51,16.21,,,,
41,06/06/2023 09:07:51,16.21,,,,
42,06/06/2023 09:17:51,16.21,,,,
