#,Year,Month,Project,Location Name,Lat,Long,Date/time started,Date/Time Deployed,Date/Time Recovered,Date/Time Stopped,Depth (meters),Device Type,Device Number,Hydrophone Sensitivity,Gain,Sampling Rate,Duty Cycle,SD card #,Files erased form SD card after download?,Location of Data,Uploaded to Drive,Notes,On Helen's Backup
3,2014,11,MWEA,T2C,38.336,-74.505,11/3/14 12:06,11/4/14 8:23,4/23/15 14:00,4/24/15 14:56,45,C-POD,2491,NA,NA,NA,Continuous,,,,Common: https://drive.google.com/open?id=1Czk6i3gMAkhYz5RwuTaL8kSE5PRZ8UrA ; Bottlenose: https://drive.google.com/open?id=15lpiN2cd_dwWk8MEYlERaoLpOxF0A7Ve,,
2,2014,11,MWEA,T1C,38.336,-74.949,11/3/14 12:14,11/4/14 12:14,4/22/15 13:07,4/24/15 15:03,19,C-POD,2493,NA,NA,NA,Continuous,,,,https://drive.google.com/open?id=1XYyLxhyQoMeYsXzUmY4VUMxyUBHlohhK,,
1,2014,11,MWEA,A5C,38.336,-74.723,11/3/14 12:22,11/5/14 10:41,4/22/15 13:07,4/23/15 15:00,27.5,C-POD,2497,NA,NA,NA,Continuous,,,,https://drive.google.com/open?id=1HiBQee0uR03Dso4coZrvjm7etK91J0Z0,,
5,2015,4,MWEA,T1C,38.336,-74.949,4/6/15 15:51,4/22/15 7:19,7/8/15 11:04,7/10/15 11:32,19,C-POD,2496,NA,NA,NA,Continuous,,,,https://drive.google.com/open?id=1QlQmzDqOMIORhGYqeVUb1K8UG6BzKVye,,
4,2015,4,MWEA,A5C,38.336,-74.723,4/6/15 16:14,4/22/15 9:15,7/8/15 8:53,7/10/15 12:02,27.5,C-POD,2498,NA,NA,NA,Continuous,,,,https://drive.google.com/open?id=13N3cjM-cEXH1oXE7u_SD-XxZ-bVrBS9-,,
6,2015,4,MWEA,T2C,38.336,-74.505,4/22/15 20:24,4/23/15 8:32,7/9/15 10:45,7/10/15 11:46,45,C-POD,2494,NA,NA,NA,Continuous,,,,Common: https://drive.google.com/open?id=1Vjfi_TWr5JUZXIO2WQMqAi2rlbqxKyJo ; Bottlenose: https://drive.google.com/open?id=1aKLrPn-4OrFxiopHuxNKTiiBLzn-cutc,,
7,2015,4,MWEA,T3C,38.336,-74.35,4/6/15 16:03,4/23/15 10:02,7/9/15 8:15,7/10/15 11:41,42,C-POD,2492,NA,NA,NA,Continuous,,,,Common: https://drive.google.com/open?id=1FjhMS_b0SgGAMRq4EYWGyZ-BGQJzV1s4 ; Bottlenose: https://drive.google.com/open?id=1hFJ8-Pkwj_ZK4Ooh1RhaBo5iSfFujVf3,,
8,2015,7,MWEA,A5C,38.336,-74.723,7/6/15 10:02,7/8/15 9:26,9/16/15 9:55,9/21/15 10:03,27.5,C-POD,2572,NA,NA,NA,Continuous,,,,https://drive.google.com/open?id=13cJMe_eBVBQ_3XEkzUdxXH72gibhq1Zl,,
9,2015,7,MWEA,T1C,38.336,-74.949,7/6/15 10:24,7/8/15 11:38,9/16/15 13:54,9/21/15 10:12,19,C-POD,2491,NA,NA,NA,Continuous,,,,https://drive.google.com/open?id=1cvkPBTZ7raQG4AVj0KVO9Pu8o48yJjvB,,
11,2015,7,MWEA,T3C,38.336,-74.35,7/6/15 10:15,7/9/15 10:06,9/17/15 8:45,9/21/15 10:20,42,C-POD,2493,NA,NA,NA,Continuous,,,,Bottlenose: https://drive.google.com/open?id=1uk0YYulgHUNy5L9QdtsAYs0kTxZBllkG,,
