Station,Site,Device,Latitude,Longitude,StationNumber
A-1M,A-1,Rockhopper,38.4419,-74.8057,1
A-2M,A-2,Rockhopper,38.378,-74.8055,2
A-3M,A-3,Rockhopper,38.314,-74.8056,3
A-4M,A-4,Rockhopper,38.4049,-74.7226,4
A-5C,A-5,"F-POD, C-POD, LS-1X, VR2W",38.336,-74.7226,5
A-5M,A-5,Rockhopper,38.3429,-74.7223,6
A-6M,A-6,Rockhopper,38.279,-74.7226,7
A-7M,A-7,Rockhopper,38.303,-74.6534,8
D1,D1,F-POD,38.2973,-74.6928,9
D2,D2,F-POD,38.2698,-74.6741,10
T-1C,T-1,"F-POD, C-POD, LS-1X, VR2W",38.3319,-74.9491,11
T-1C*,T-1,"F-POD, Soundtrap, VR2AR",38.336,-74.949,12
T-1M,T-1,Rockhopper,38.303,-74.453,13
T-1M*,T-1,Rockhopper,38.303,-74.95,14
T-2C,T-2,"F-POD, VR2W",38.3376,-74.5071,15
T-2M,T-2,Rockhopper,38.303,-74.5047,16
T-3C,T-3,"F-POD, VR2W",38.3427,-74.4237,17
T-3M,T-3,Rockhopper,38.343,-74.3955,18
V4,V4,VR2AR,38.335,-74.6768,19
V5,V5,VR2AR,38.3368,-74.7682,20
